指挥官	面板技能	panelId	abilityId	abilityCatalog	buttonId	buttonCatalog	requirementId	requirementCatalog	casterId	casterCatalog	目标方式	费用/冷却/充能	能力节点摘要	具体效果	当前状态
德哈卡	召唤达克伦	dakrun	DehakaDakrunTopBar	本地 CAbilEffectTarget	DehakaDakrunTopBar	本地 CButton	DehakaSummonDakrun	本地 CRequirement	CoopCasterDehaka	本地 CUnit	点目标	冷却 使用 360 秒，位置 Player	射程 500；主效果 DehakaDakrunTopBarCU；目标效果 DakrunSpawningTargetSearch	召唤原始虫群首领达克伦。达克伦是重甲巨兽，可以向目标位置冲锋，造成大量伤害，并击退该位置的敌方单位。达克伦在回到巢穴前会持续战斗60秒。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
德哈卡	召唤格里维格	glevig	DehakaGlevigTopBar	本地 CAbilBuild	DehakaGlevigTopBar	本地 CButton	DehakaSummonGlevig	本地 CRequirement	CoopCasterDehaka	本地 CUnit	点目标	建造 DehakaGlevig，建造时间 0.0625 秒，冷却 360 秒	射程 500	召唤原始虫群首领格里维格和一小群原始异虫。格里维格是强大的静态远程攻击单位，可以造成范围伤害，还可以通过深槽虫道移动到新的位置。格里维格在回到巢穴前会持续战斗60秒。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
德哈卡	召唤穆尔瓦	murvar	DehakaMurvarTopBar	本地 CAbilEffectTarget	DehakaMurvarTopBar	本地 CButton	DehakaSummonMurvar	本地 CRequirement	CoopCasterDehaka	本地 CUnit	点目标	冷却 使用 360 秒，位置 Player	射程 500；主效果 DehakaMurvarTopBarCU；目标效果 CoopMurvarLaunchPuddleSearch	召唤原始虫群首领穆尔瓦。穆尔瓦可以孵化蝗虫，还可以制造一团云雾减速敌人，并使其无法攻击和使用能量技能。穆尔瓦在回到巢穴前会持续战斗60秒。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
德哈卡	召唤大型原始蠕虫	nydus_destroyer	DehakaNydusDestroyerTopBar	本地 CAbilBuild	DehakaNydusDestroyerTopBar	本地 CButton	HaveDehakaGlevigStructure	本地 CRequirement	CoopCasterDehaka	本地 CUnit	点目标	建造 DehakaNydusDestroyerTimedNoFood，建造时间 0.0625 秒	射程 500	召唤强力临时防御蠕虫，可以侦测隐形和潜地单位。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
菲尼克斯	塞布罗斯仲裁者战甲	arbiter_suit	SOASummonFenixArbiter	本地 CAbilEffectTarget	SOASummonFenixArbiter	本地 CButton		未使用	SoACasterFenix	本地 CUnit	点目标	冷却 初始 240 秒，使用 15 秒，位置 Player，链接 SOASummonFenixArbiter	射程 500；主效果 SOASummonFenixArbiterInitialSet	折跃菲尼克斯的塞布罗斯仲裁者战甲。在使用这套战甲配置时，菲尼克斯能够为战场上的部队提供支援并禁锢敌方单位。 该战甲会一直保持激活状态，直至其被摧毁或有其它战甲被折跃。 可以对地和对空。；折跃菲尼克斯塞布罗斯仲裁者战甲；本地能力节点显示初始冷却 240 秒、换甲冷却 15 秒。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
菲尼克斯	太阳能龙骑士战甲	dragoon_suit	SOASummonFenixDragoon	本地 CAbilEffectTarget	SOASummonFenixDragoon	本地 CButton		未使用	SoACasterFenix	本地 CUnit	点目标	冷却 初始 240 秒，使用 15 秒，位置 Player，链接 SOASummonFenixDragoon	射程 500；主效果 SOASummonFenixDragoonInitialSet	折跃菲尼克斯的太阳能龙骑士战甲。在使用这套战甲配置时，菲尼克斯可以进行远程攻击并使用多种毁灭性技能。 该战甲会一直保持激活状态，直至其被摧毁或有其它战甲被折跃。 可以对地和对空。；折跃菲尼克斯太阳能龙骑士战甲；本地能力节点显示初始冷却 240 秒、换甲冷却 15 秒。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
菲尼克斯	执政官战甲	praetor_suit	SOASummonFenix	本地 CAbilEffectTarget	SOASummonFenix	本地 CButton		未使用	SoACasterFenix	本地 CUnit	点目标	冷却 初始 240 秒，使用 15 秒，位置 Player，链接 SOASummonFenix	射程 500；主效果 SOASummonFenixInitialSet	折跃菲尼克斯的执政官战甲。在使用这套战甲配置时，菲尼克斯是一名强大的近战勇士，能够进行范围性攻击并吸收伤害。 该战甲会一直保持激活状态，直至其被摧毁或有其它战甲被折跃。 可以对地。；折跃菲尼克斯执政官战甲；本地能力节点显示初始冷却 240 秒、换甲冷却 15 秒。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
霍纳与汉	呼叫舰队：打开目标模式	air_fleet_activate	HornerAirFleetActivate	本地 CAbilBehavior	HornerAirFleet	本地 CButton	HornerHanLevel05	本地 CRequirement	CoopCasterHorner	本地 CUnit	目标模式开关	冷却 初始 420 秒，使用 360 秒		呼叫霍纳的舰队进行近轨道火力支援。舰队会对目标区域内的随机敌方单位造成巨量伤害。；呼叫舰队目标模式：打开舰队轰炸落点选择；执行链由 air_fleet_target 负责。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
霍纳与汉	呼叫舰队：落点执行	air_fleet_target	HornerAirFleetTargetingDummy	本地 CAbilEffectTarget	HornerAirFleet	本地 CButton	HornerHanLevel05	本地 CRequirement	CoopCasterHorner	本地 CUnit	点目标	冷却 使用 0.25 秒	射程 500；目标效果 HornerAirFleetSearch	呼叫霍纳的舰队进行近轨道火力支援。舰队会对目标区域内的随机敌方单位造成巨量伤害。；呼叫舰队：舰队在目标区域进行打击；本地 profile 检查目标 dummy/按钮/caster 是否齐全。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
霍纳与汉	磁力地雷	mag_mines	HHTrainTopBar	本地 CAbilBuild	HHMagneticMines	本地 CButton		未使用	CoopCasterHorner	本地 CUnit	建造点	建造 HHMagneticMine_SpawnerUnit	射程 500	在目标位置部署5枚麦格天雷。麦格天雷会被敌方的移动引爆，并造成50点范围伤害。；磁力地雷：从顶部条投放磁力地雷；本地能力为 HHTrainTopBar 的 Build1 项。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
霍纳与汉	精确打击	precision_strike	HHBomberPlatformAreaBombTopBarOrder	本地 CAbilEffectTarget	HHBomberAreaBombTopBar	本地 CButton	HornerHanLevel02	本地 CRequirement	CoopCasterHorner	本地 CUnit	点目标	充能 最大 1000，每次 1	射程 500；主效果 HHBomberPlatformAreaBombTopBarOrderDummyCP；目标效果 HHBomberAreaBombSearchArea	冷却时间：60 向目标位置发射攻击战斗机，对该位置的敌方地面单位造成175 (+225对非英雄建筑) 点伤害。；精确打击：调用轰炸机平台对目标区域进行轰炸；同排 dummy 用于无平台/计时状态展示。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
霍纳与汉	精确打击：平台计时占位	precision_strike_dummy	HHBomberPlatformAreaBombTopBarDummyTimer	本地 CAbilEffectTarget	HHBomberAreaBombTopBarDummy	本地 CButton		未使用	CoopCasterHorner	本地 CUnit	点目标	冷却 使用 60 秒	射程 500；主效果 HHBomberPlatformAreaBombTopBarOrderDummyCP；目标效果 HHBomberAreaBombSearchArea	向目标位置发射攻击战斗机，对该位置的敌方地面单位造成175 (+225对非英雄建筑) 点伤害。；精确打击占位：显示轰炸机平台计时/不可用状态，不代表实际轰炸执行。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
霍纳与汉	空间站调度	space_station	HHSummonMercenarySpaceStation	本地 CAbilEffectTarget	HHSummonSpaceStation	本地 CButton	HornerHanLevel10	本地 CRequirement	CoopCasterHorner	本地 CUnit	点目标	冷却 初始 300 秒，使用 360 秒，位置 Player	射程 500；主效果 SummonHHMercenarySpaceStationCreateUnit；目标效果 HHMercenarySpaceStationSpawnImpactSearch	空间站对撞击的英雄单位造成500点伤害，撞击范围内的其它一切存在都将被立即摧毁。攻击型无人机会攻击附近的目标。持续10秒。；空间站调度：在目标区域召唤雇佣兵空间站并进行范围支援。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
凯拉克斯	时空波动	chrono_wave	SOAMapWideChrono	本地 CAbilEffectInstant	SOAMapWideChrono	本地 CButton	HaveSOAMapWideChrono	本地 CRequirement	SoACasterKarax	本地 CUnit	瞬发	冷却 初始 300 秒，使用 240 秒	主效果 SOAMapWideChronoSearch	使所有友方建筑的生产速度提高200%，持续20秒。；时空波动影响全图友方单位/建筑；本地行为显示持续 20 秒，速度/冷却/生产等倍率为 2。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
凯拉克斯	轨道轰炸	orbital_strike	SOAOrbitalStrikeKarax	本地 CAbilEffectTarget	SOAOrbitalStrikeKarax	本地 CButton	HaveSOAOrbitalStrike	依赖/官方 CRequirement	SoACasterKarax	本地 CUnit	点目标	能量 5	射程 500；主效果 SOAOrbitalStrikeCP；目标效果 SOAOrbitalStrikeImpactSearch	从高空轨道向战场发射多束激光，每一束造成50(100 vs 重甲单位)点范围伤害。；凯拉克斯轨道轰炸；本地能力节点显示能量消耗 5，冷却/充能链接到独立冷却键。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
凯拉克斯	净化光束	purifier_beam	SOAPurifierBeam	本地 CAbilEffectTarget	SOAPurifierBeam	依赖/官方 CButton		未使用	SoACasterKarax	本地 CUnit	点目标	冷却 初始 450 秒，使用 360 秒		发射一道激光，在15秒内造成750 (1500 vs 重甲单位)伤害。若不手动控制，则激光会自动寻找目标。；净化光束；本地能力节点显示初始冷却 450 秒、使用冷却 360 秒。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
凯拉克斯	太阳能射线枪：打开目标模式	solar_lance_activate	SOAThermalLanceActivate	本地 CAbilBehavior	SOAThermalLance	依赖/官方 CButton		未使用	SoACasterKarax	本地 CUnit	目标模式开关	冷却 使用 120 秒		发射3道激光扫射目标位置，每道激光造成200点伤害。；太阳能射线枪目标模式；本地 activate 节点显示冷却 120 秒。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
凯拉克斯	太阳能射线枪：划线执行	solar_lance_execute	SOAThermalLanceExecute	本地 CAbilEffectTarget	SOAThermalLance	依赖/官方 CButton		未使用	SoACasterKarax	本地 CUnit	划线目标	无显式费用/冷却字段	主效果 SOAThermalLanceSet	发射3道激光扫射目标位置，每道激光造成200点伤害。；太阳能射线枪划线执行；当前执行节点只有效果入口，费用主要在 activate/目标模式链上。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
凯瑞甘	吸收光环	assimilation_aura	KerriganVoidCoopEconDrop	本地 CAbilEffectInstant	KerriganVoidCoopEconDrop	本地 CButton		未使用	K5Kerrigan	本地 CUnit	瞬发	冷却 使用 120 秒，位置 Player	主效果 KerriganVoidCoopEconDropCasterAB	附近所有被消灭的敌人掉落资源。效果持续15秒。；吸收光环：附近敌人死亡掉落资源；本地能力节点显示冷却 120 秒。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
凯瑞甘	定身波	immobilization_wave	KerriganVoidCoopCrushingGripWave	本地 CAbilEffectInstant	KerriganVoidCoopCrushingGripWave	本地 CButton		未使用	K5Kerrigan	本地 CUnit	瞬发	冷却 初始 600 秒，使用 180 秒，位置 Player	主效果 KerriganVoidCoopCrushingGripWaveDelayCP	对凯瑞甘周围大范围内的敌人造成100点伤害，并击晕他们10秒。 英雄单位会被减速。；定身波：全屏控制/伤害链；本地能力节点显示初始冷却 600 秒、使用冷却 180 秒，前置眩晕 1.625 秒。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
凯瑞甘	毁灭漩涡	maelstrom	KerriganMaelstrom	本地 CAbilEffectInstant	KerriganMaelstrom	本地 CButton		未使用	K5Kerrigan	本地 CUnit	瞬发	能量 100；冷却 使用 120 秒，位置 Unit	主效果 KerriganMaelstromInitialSet	毁灭漩涡：本地能力节点显示消耗 100 能量、冷却 120 秒，行为持续 9 秒、每 0.5 秒搜索半径 4。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
蒙斯克	强制征召	bunker_drop	BunkerDepotMengskDrop	本地 CAbilBuild	BunkerDepotMengskDrop	本地 CButton		未使用	CoopCasterMengsk	本地 CUnit	建造点	建造 BunkerDepotMengskDrop，建造时间 3 秒，能量 25	射程 500	空投一个补给地堡，里面有6名不幸的冲锋队员在值守。；强制征召：向目标位置空投补给地堡/征召支援。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
蒙斯克	辐射打击	contaminated_strike	ArtilleryMengskGlobalExperimentalStrike	本地 CAbilEffectTarget	ArtilleryMengskExperimentalStrike	本地 CButton	MengskLevel04	本地 CRequirement	CoopCasterMengsk	本地 CUnit	点目标	能量 25；冷却 使用 30 秒，位置 Global	射程 500；主效果 ArtilleryMengskGlobalExperimentalStrikeDummy	为你所有的大地碎裂炮装填试验性弹头，瞄准地图上的任意位置进行发射。弹头随机落在目标位置附近，使整个区域浸泡在充满辐射的生化材料中，任何进入其中的敌人每秒承受5点伤害。受到影响的单位无法隐形。；辐射打击：大地碎裂炮向目标区域发射污染弹，造成区域伤害/污染效果。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
蒙斯克	战争恶犬：等级1	dogs_of_war_level1	MengskZergCalldownLevel1	本地 CAbilEffectTarget	MengskZergCalldownLevel1	本地 CButton		未使用	CoopCasterMengsk	本地 CUnit	点目标	能量 25	射程 500；主效果 ZerglingMengskSpawnCP	战争恶犬等级1：按当前帝国天命层级召唤异虫支援；等级越高单位规模越大。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
蒙斯克	战争恶犬：等级2	dogs_of_war_level2	MengskZergCalldownLevel2	本地 CAbilEffectTarget	MengskZergCalldownLevel1	本地 CButton		未使用	CoopCasterMengsk	本地 CUnit	点目标	能量 50	射程 500；主效果 MengskZergCalldownLevel2Set	战争恶犬等级2：按当前帝国天命层级召唤异虫支援；等级越高单位规模越大。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
蒙斯克	战争恶犬：等级3	dogs_of_war_level3	MengskZergCalldownLevel3	本地 CAbilEffectTarget	MengskZergCalldownLevel1	本地 CButton		未使用	CoopCasterMengsk	本地 CUnit	点目标	能量 75	射程 500；主效果 MengskZergCalldownLevel3Set	战争恶犬等级3：按当前帝国天命层级召唤异虫支援；等级越高单位规模越大。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
蒙斯克	战争恶犬：等级4	dogs_of_war_level4	MengskZergCalldownLevel4	本地 CAbilEffectTarget	MengskZergCalldownLevel1	本地 CButton		未使用	CoopCasterMengsk	本地 CUnit	点目标	能量 100	射程 500；主效果 MengskZergCalldownLevel4Set	战争恶犬等级4：按当前帝国天命层级召唤异虫支援；等级越高单位规模越大。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
蒙斯克	核弹天劫	nuclear_annihilation	NuclearAnnihilationMengsk	本地 CAbilEffectTarget	NuclearAnnihilationMengsk	本地 CButton	MengskLevel10	本地 CRequirement	CoopCasterMengsk	本地 CUnit	点目标	能量 100；冷却 使用 300 秒	射程 500；主效果 NuclearAnnihilationMengskBigNukeDropDelayCP	发射仿佛无穷无尽的20枚战术飞弹，地毯式轰炸目标区域，每一枚飞弹对一个小范围区域造成150(+100对建筑)点伤害，最后还有一枚核子飞弹尾随其后，对一个大范围区域造成500(+300对建筑)点伤害。；核弹天劫：向目标区域连续投放核弹级打击；需要对应等级/非威望锁定状态。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
诺娃	格里芬轰炸	griffin_bombing_run	NovaGriffinBombingRunExecute	本地 CAbilEffectTarget	NovaGriffinBombingRun	本地 CButton		未使用	CoopCasterNova	本地 CUnit	点目标	冷却 使用 0.25 秒	射程 500；主效果 NovaGriffinBombingRunInitialSet；目标效果 NovaGriffinBombingRunDummySearch	短暂延迟后，呼叫狮鹫号对其航线沿途的所有目标造成500点伤害。；格里芬轰炸：对目标线/区域实施轰炸；当前本地能力为 execute 节点。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
诺娃	格里芬运输	griffin_transport	NovaGriffinTransportLoadUnits	本地 CAbilEffectTarget	NovaGriffinTransportUnits	本地 CButton		未使用	CoopCasterNova	本地 CUnit	瞬发	冷却 初始 120 秒，使用 120 秒	射程 500；主效果 NovaGriffinTransportUnitsInitialSet；目标效果 NovaGriffinTransportUnitsSearchDummy	立即将目标区域内的友方单位运送至选定位置。；格里芬运输：装载并运输诺娃部队；当前 profile 只检查 load 能力和按钮。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
诺娃	全息诱饵	holo_decoy	NovaCoopDecoyTarget	本地 CAbilEffectTarget	NovaCoopDecoy	本地 CButton	HaveNovaCombatSuit	本地 CRequirement	CoopCasterNova	本地 CUnit	点目标	冷却 初始 600 秒，使用 420 秒，位置 Global	射程 6；主效果 NovaCoopDecoy；产物 NovaCoopDecoy	部署一个诺娃的全息复制体，可自动攻击敌方单位，持续存在60秒。；全息诱饵：在目标位置投放诱饵单位，需要诺娃作战服。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
诺娃	战术核弹	tactical_nuke	NovaCoopCasterNuke	本地 CAbilEffectTarget	NovaCoopCasterNuke	本地 CButton	HaveShadowOpsandNovaStealthSuit	本地 CRequirement	CoopCasterNova	本地 CUnit	点目标	充能 最大 1，每次 1，初始恢复 600 秒，恢复 420 秒	射程 13；主效果 NovaCoopCasterNukePersistent；目标效果 NovaCoopCasterNukeDamage	通过空投对目标区域进行聚变打击。聚变打击需要[未解析:Effect,NovaCoopCasterNukePersistent,InitialDelay+Effect,NovaCoopCasterNukePersistent,ExpireDelay]秒才能生效，但可对大范围内的目标造成最多600点伤害。；战术核弹：从幽灵学院/隐形套装链路发射核弹，使用 charge/cooldown 控制。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
雷诺	女妖空袭	banshee_airstrike	BansheeAirstrike	本地 CAbilEffectTarget	BansheeAirstrike	本地 CButton		未使用	CoopCasterRaynor	本地 CUnit	点目标	冷却 初始 240 秒，使用 240 秒，位置 Unit	射程 500；目标效果 BansheeAirstrikeSearch	呼叫5架隐形的黄昏之翼，向空降区域内所有敌人造成50点伤害。黄昏之翼可以被控制并作战，持续60秒。；呼叫 5 架隐形黄昏之翼；本地能力节点显示初始冷却 240 秒、使用冷却 240 秒。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
雷诺	休伯利安号	hyperion	VoidCoopSummonHyperion	本地 CAbilEffectTarget	SummonHyperionVoid	本地 CButton		未使用	CoopCasterRaynor	本地 CUnit	点目标	冷却 初始 300 秒，使用 360 秒，位置 Unit	射程 500；主效果 SummonHyperionCreateUnit	召唤休伯利安号战列巡航舰进行临时支援，休伯利安号可被控制，并持续60秒。；召唤可控休伯利安号；本地能力节点显示初始冷却 300 秒、使用冷却 360 秒。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
斯台特曼	切换成“艾的呵护”设定	hugs	PowerFieldHPRegenerationOn	本地 CAbilEffectInstant	PowerFieldHPRegeneration	本地 CButton		未使用	CoopCasterStetmann	本地 CUnit	瞬发	无显式费用/冷却字段		允许“爱心区域”给予斯台特曼的单位[未解析:$UpgradeEffectArrayValue:PowerFieldHPRegeneration:Behavior,PowerFieldBuffSelfStetmann,PowerStageArray[1].Modification.VitalRegenArray[Life]$ + Effect,MasteryStetmannStetzoneBonusesHPRegenerationSelfDisplayDummy,Amount]点每秒生命恢复。盟友单位获得[未解析:$UpgradeEffectArrayValue:PowerFieldHPRegeneration:Behavior,PowerFieldBuffAllyStetmann,PowerStageArray[1].Modification.VitalRegenArray[Life]$ + Effect,MasteryStetmannStetzoneBonusesHPRegenerationAllyDisplayDummy,Amount]点每秒生命恢复。；艾的呵护：切换斯台特区到生命恢复配置，给范围内友方单位提供治疗向增益。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
斯台特曼	切换成“艾的滋润”设定	juice	PowerFieldEnergyRegenerationOn	本地 CAbilEffectInstant	PowerFieldEnergyRegeneration	本地 CButton		未使用	CoopCasterStetmann	本地 CUnit	瞬发	无显式费用/冷却字段		“爱心区域”每秒给予斯台特曼的单位[未解析:$UpgradeEffectArrayValue:PowerFieldEnergyRegeneration:Behavior,PowerFieldBuffSelfStetmann,PowerStageArray[1].Modification.VitalRegenArray[Energy]$ + Effect,MasteryStetmannStetzoneBonusesEnergyRegenerationSelfDisplayDummy,Amount]点艾能恢复。盟友单位每秒获得[未解析:$UpgradeEffectArrayValue:PowerFieldEnergyRegeneration:Behavior,PowerFieldBuffAllyStetmann,PowerStageArray[1].Modification.VitalRegenArray[Energy]$ + Effect,MasteryStetmannStetzoneBonusesEnergyRegenerationAllyDisplayDummy,Amount]点能量恢复。；艾的滋润：切换斯台特区到能量恢复配置，给范围内友方单位提供能量恢复向增益。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
斯台特曼	切换成“艾的急切”设定	speed	PowerFieldMovementSpeedOn	本地 CAbilEffectInstant	PowerFieldMovementSpeed	本地 CButton		未使用	CoopCasterStetmann	本地 CUnit	瞬发	无显式费用/冷却字段		允许“爱心区域”给予斯台特曼的单位[未解析:$UpgradeEffectArrayValue:PowerFieldMovementSpeed:Behavior,PowerFieldBuffSelfStetmann,PowerStageArray[1].Modification.MoveSpeedMultiplier$*100+Effect,MasteryStetmannStetzoneBonusesMovementSpeedSelfDisplayDummy,Amount]%移动速度加成。盟友单位获得[未解析:$UpgradeEffectArrayValue:PowerFieldMovementSpeed:Behavior,PowerFieldBuffAllyStetmann,PowerStageArray[1].Modification.AccelerationMultiplier$*100+Effect,MasteryStetmannStetzoneBonusesMovementSpeedAllyDisplayDummy,Amount]%移动速度加成。；艾的急切：切换斯台特区到移动速度配置，给范围内友方单位提供加速向增益。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
斯台特曼	部署艾星	stetellite	DeployPowerTowerStetmann	本地 CAbilBuild	PowerTowerStetmannLevel1	本地 CButton		未使用	CoopCasterStetmann	本地 CUnit	建造点	建造 PowerTowerStetmann，建造时间 2 秒	射程 500	在目标位置部署一颗艾星。艾星必须放置在“爱心区域”中。；部署艾星：在目标点部署斯台特卫星，展开斯台特区。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
