指挥官	类型	来源单位	当前CUnit	状态	缺运行时attack	缺运行时武器	缺命令卡接线	本地技能	本地武器	运行时技能	运行时武器	官方命令卡技能
阿巴瑟	单位/英雄	Brutalisk	Brutalisk	ok_effective_combat_link	否	否	无	BrutaliskDeepTunnel, SymbioteCarapace, BurrowBrutaliskDown, AbathurSymbioteHangerBrutalisk, que1Passive	Brutalize, FerociousSpew	BrutaliskDeepTunnel, SymbioteCarapace, BurrowBrutaliskDown, AbathurSymbioteHangerBrutalisk, que1Passive	Brutalize, FerociousSpew	甲壳(SymbioteCarapace), 深槽虫道(BrutaliskDeepTunnel), 潜地(BurrowBrutaliskDown)
阿巴瑟	单位/英雄	Leviathan	Leviathan	noncombat_or_no_weapon	否	否	无	无	无	无	无	无
阿巴瑟	单位/英雄	Overseer	Overseer	noncombat_or_no_weapon	否	否	无	OverseerMorphtoOverseerSiege	无	stop, move, SpawnChangeling, Contaminate, ColonyInfestation, OverseerMorphtoOverseerSiegeMode, OverseerMorphtoOverseerSiege	无	无
阿拉纳克	单位/英雄	ColossusTaldarim	ColossusTaldarim	ok_effective_combat_link	否	否	无	无	ColossusTaldarimChargedBeamFast	stop, attack, move, Warpable, ProgressRally	ColossusTaldarimChargedBeam, ColossusTaldarimChargedBeamFast	无
阿拉纳克	单位/英雄	HighTemplarTaldarim	HighTemplarTaldarim	ok_effective_combat_link	否	否	无	BuildInProgress, attack, AscendantSacrificeInstant	无	stop, move, VoidHighTemplarMindBlast, ArchonWarp, Warpable, ProgressRally, VoidHighTemplarPsiOrb, BuildInProgress, attack, AscendantSacrificeInstant	AscendantWeapon, HighTemplarWeapon	无
阿拉纳克	单位/英雄	ImmortalTaldarim	ImmortalTaldarim	ok_effective_combat_link	否	否	无	无	ImmortalTaldarimLookAt	stop, attack, move, Warpable, ProgressRally, FenixTaldarinImmortalMorph	ImmortalTaldarim, PhaseDisruptorsLookAt, ImmortalTaldarimLookAt	无
阿拉纳克	单位/英雄	Monitor	Monitor	ok_effective_combat_link	否	否	无	无	无	stop, move, Warpable, attack, ObserverTargetLock, ForceFieldMonitor, ProgressRally	MonitorFakeWeapon	无
阿拉纳克	单位/英雄	Supplicant	Supplicant	ok_effective_combat_link	否	否	无	stop, attack, move, WarpableAnywhere, ProgressRally	SupplicantWeapon	stop, attack, move, WarpableAnywhere, ProgressRally	SupplicantWeapon	无
阿拉纳克	单位/英雄	WarpPrismTaldarim	WarpPrismTaldarim	ok_effective_combat_link	否	否	无	attack, stop, move, PhasingModeTaldarim, WarpPrismTransport, Warpable	WarpPrismTaldarimWeapon	attack, stop, move, PhasingModeTaldarim, WarpPrismTransport, Warpable	WarpPrismTaldarimWeapon	相位模式(PhasingModeTaldarim), 装载(WarpPrismTransport), 全部卸载(WarpPrismTransport)
阿拉纳克	单位/英雄	Stalker	Stalker	ok_effective_combat_link	否	否	无	BlinkSlayer	无	stop, move, attack, Warpable, ProgressRally, Blink, BlinkSlayer	ParticleDisruptors	闪现(Blink)
阿塔尼斯	单位/英雄	Archon	Archon	ok_effective_combat_link	否	否	无	FeedbackArchon, PsiStormArchon	无	stop, attack, move, Mergeable, ProgressRally, Warpable, FeedbackArchon, PsiStormArchon	PsionicShockwave	无
阿塔尼斯	单位/英雄	ImmortalAiur	ImmortalAiur	ok_effective_combat_link	否	否	无	ImmortalBarrierBase, ImmortalShakurasShadowCannon	PhaseDisruptorsLookAt	stop, attack, move, Warpable, ProgressRally, ImmortalBarrierBase, FenixTaldarinImmortalMorph, ImmortalShakurasShadowCannon	PhaseDisruptors, PhaseDisruptorsLookAt	ImmortalBarrierBase(ImmortalBarrierBase), ImmortalShakurasShadowCannon(ImmortalShakurasShadowCannon)
阿塔尼斯	单位/英雄	Observer	Observer	ok_effective_combat_link	否	否	无	attack, Warpable, ObserverMorphtoObserverSiege	无	stop, move, ObserverMorphtoObserverSiege, attack, Warpable	无	监察模式(ObserverMorphtoObserverSiege), 监察模式(ObserverMorphtoObserverSiege)
阿塔尼斯	单位/英雄	PhoenixAiur	PhoenixAiur	ok_effective_combat_link	否	否	无	无	ArtanisIonCannons	stop, attack, move, GravitonBeam, GravitonBeamVoidCampaign, Warpable, ProgressRally	ArtanisIonCannons	无
阿塔尼斯	单位/英雄	Dragoon	Dragoon	ok_effective_combat_link	否	否	无	无	无	stop, attack, move, Warpable, ProgressRally	Dragoon	无
阿塔尼斯	单位/英雄	Zealot	Zealot	ok_effective_combat_link	否	否	无	无	无	stop, attack, move, Warpable, ProgressRally, Charge	PsiBlades	冲锋(Charge)
阿塔尼斯	单位/英雄	HighTemplar	HighTemplar	ok_effective_combat_link	否	否	无	无	无	stop, move, PsiStorm, ArchonWarp, Warpable, ProgressRally, Feedback, BuildInProgress, attack	HighTemplarWeapon	能量反蚀(Feedback), 灵能风暴(PsiStorm), 执政官融合(ArchonWarp)
阿塔尼斯	单位/英雄	Tempest	Tempest	ok_effective_combat_link	否	否	无	LightningBomb	无	stop, attack, move, Warpable, ProgressRally, LightningBomb	TempestGround, Tempest	无
阿塔尼斯	单位/英雄	Reaver	Reaver	ok_effective_combat_link	否	否	无	无	无	stop, attack, move, Warpable, ProgressRally, HangarQueue5, ReaverHangar	ReaverScarabsLaunch	无
德哈卡	单位/英雄	DehakaCoop	DehakaCoop	ok_effective_combat_link	否	否	无	stop, attack, move, DehakaLearn, DehakaIntimidatingRoar, DehakaLeapStomp, DehakaConsume, DehakaMendingAura, DehakaDetector, DehakaDeepTunnel, MammothBreath, DehakaAirAttackUpgrade, DehakaArmorUpgrade	DehakaCoop	stop, attack, move, DehakaLearn, DehakaIntimidatingRoar, DehakaLeapStomp, DehakaConsume, DehakaMendingAura, DehakaDetector, DehakaDeepTunnel, MammothBreath, DehakaAirAttackUpgrade, DehakaArmorUpgrade	DehakaCoop	原始恢复(DehakaMendingAura), 敏锐感官(DehakaDetector), 骨板(DehakaArmorUpgrade), 致命触击(DehakaAirAttackUpgrade), 跳跃(DehakaLeapStomp), 破胆咆哮(DehakaIntimidatingRoar), 吞食(DehakaConsume), 灼热吐息(MammothBreath), 进化跳跃(DehakaLearn), 进化破胆咆哮(DehakaLearn), 进化吞食(DehakaLearn), 进化灼热吐息(DehakaLearn)
德哈卡	单位/英雄	DehakaGlevig	DehakaGlevig	ok_effective_combat_link	否	否	无	stop, attack, GlevigDeepTunnel, DehakaGlevigFirebreath, BuildInProgress, CommanderPrestigeDehakaPackLeadersRetreat	YagdraFireballWeapon	stop, attack, GlevigDeepTunnel, DehakaGlevigFirebreath, BuildInProgress, CommanderPrestigeDehakaPackLeadersRetreat	YagdraFireballWeaponDehaka, YagdraFireballWeapon	为陛下让路(CommanderPrestigeDehakaPackLeadersRetreat), 深槽虫道(GlevigDeepTunnel)
德哈卡	单位/英雄	DehakaMurvar	DehakaMurvar	ok_effective_combat_link	否	否	无	stop, attack, move, CoopMurvarSpawnCreepers, MurvarCoopPuke, CommanderPrestigeDehakaPackLeadersRetreat	SlivanRanged	stop, attack, move, CoopMurvarSpawnCreepers, MurvarCoopPuke, CommanderPrestigeDehakaPackLeadersRetreat	SlivanRanged	孵化虫群(CoopMurvarSpawnCreepers), 压制恶臭(MurvarCoopPuke), 为陛下让路(CommanderPrestigeDehakaPackLeadersRetreat)
德哈卡	单位/英雄	DehakaDakrun	DehakaDakrun	ok_effective_combat_link	否	否	无	stop, attack, move, KraithCrashingCharge, CommanderPrestigeDehakaPackLeadersRetreat	KraithMelee	stop, attack, move, DehakaCrashingCharge, CommanderPrestigeDehakaPackLeadersRetreat, KraithCrashingCharge	KraithMelee	野蛮冲锋(KraithCrashingCharge), 为陛下让路(CommanderPrestigeDehakaPackLeadersRetreat)
德哈卡	单位/英雄	DehakaDrone	DehakaDrone	ok_effective_combat_link	否	否	无	stop, attack, move, DehakaDroneMorph, DroneHarvest, BurrowDehakaDroneDown, DroneCarcassHarvest, MapObjectInteract, MutatorRemoveWorkerSleep, SprayZerg	DehakaDroneSpines	stop, attack, move, DehakaDroneMorph, DroneHarvest, BurrowDehakaDroneDown, DroneCarcassHarvest, MapObjectInteract, MutatorRemoveWorkerSleep, SprayZerg	DehakaDroneSpines	召唤原始主巢(DehakaDroneMorph), 召唤原始战争之巢(DehakaDroneMorph), 召唤格里维格的巢穴(DehakaDroneMorph), 召唤穆尔瓦的巢穴(DehakaDroneMorph), 召唤达克伦的巢穴(DehakaDroneMorph), 召唤原始蠕虫(DehakaDroneMorph)
德哈卡	单位/英雄	DehakaCreeper	DehakaCreeper	ok_effective_combat_link	否	否	无	stop, attack, move, DehakaCreeperMorphToAir	无	stop, attack, move, DehakaCreeperMorphToAir	无	无
德哈卡	单位/英雄	DehakaCreeperFlying	DehakaCreeperFlying	ok_effective_combat_link	否	否	无	stop, attack, move	DehakaCreeperSuicide, DehakaCreeperSuicideBuilding, DehakaCreeperSwoop	stop, attack, move	DehakaCreeperSuicide, DehakaCreeperSuicideBuilding, DehakaCreeperSwoop	DehakaLocustFlyingSwoop(DehakaLocustFlyingSwoopAttack)
德哈卡	单位/英雄	DehakaHydraliskLevel2	DehakaHydraliskLevel2	ok_effective_combat_link	否	否	无	move, attack, stop, BurrowDehakaHydraliskLevel2Down, PrimalHydraliskToMutalisk, PrimalHydraliskImpalerMerge	DehakaHydraliskLevel2Melee, DehakaHydraliskLevel2NeedleSpines	move, attack, stop, BurrowDehakaHydraliskLevel2Down, PrimalHydraliskToMutalisk, PrimalHydraliskImpalerMerge	DehakaHydraliskLevel2Melee, DehakaHydraliskLevel2NeedleSpines	潜地(BurrowDehakaHydraliskLevel2Down)
德哈卡	单位/英雄	DehakaMutaliskLevel3	DehakaMutaliskLevel3	ok_effective_combat_link	否	否	无	stop, attack, move, PrimalMutaliskLevel2Mergeable, DehakaMutaliskRevive	DehakaMutaliskAirGlaiveWurm, DehakaMutaliskLevel3GlaiveWurm	stop, attack, move, PrimalMutaliskLevel2Mergeable, DehakaMutaliskRevive, ProgressRally	DehakaMutaliskAirGlaiveWurm, DehakaMutaliskLevel3GlaiveWurm	无
德哈卡	单位/英雄	DehakaPrimalSwarmHost	DehakaPrimalSwarmHost	ok_effective_combat_link	否	否	无	stop, move, DehakaMorphToPrimalSwarmHostBurrowed, DehakaSpawnCreeperTargeted, PrimalSwarmHostMergeable, attack, ProgressRally	DehakaPrimalSwarmHostFakeWeapon	stop, move, DehakaMorphToPrimalSwarmHostBurrowed, DehakaSpawnCreeperTargeted, PrimalSwarmHostMergeable, attack, ProgressRally	DehakaPrimalSwarmHostFakeWeapon	孵化爆裂掘地虫(DehakaSpawnCreeperTargeted), 潜地(DehakaMorphToPrimalSwarmHostBurrowed)
德哈卡	单位/英雄	DehakaRavasaur	DehakaRavasaur	ok_effective_combat_link	否	否	无	move, attack, stop, BurrowDehakaRavasaurDown, PrimalZerglingLevel2Mergeable, ProgressRally	DehakaRavasaur	move, attack, stop, BurrowDehakaRavasaurDown, PrimalZerglingLevel2Mergeable, ProgressRally	DehakaRavasaur	潜地(BurrowDehakaRavasaurDown)
德哈卡	单位/英雄	DehakaRoachLevel2	DehakaRoachLevel2	ok_effective_combat_link	否	否	无	stop, attack, move, BurrowDehakaRoachLevel2Down, PrimalRoachLevel2Mergeable, PrimalRoachLevel2Merge, PrimalRoachGuardianMerge	DehakaRoachLevel2Melee, DehakaRoachLevel2	stop, attack, move, BurrowDehakaRoachLevel2Down, PrimalRoachLevel2Mergeable, PrimalRoachLevel2Merge, PrimalRoachGuardianMerge	DehakaRoachLevel2Melee, DehakaRoachLevel2	潜地(BurrowDehakaRoachLevel2Down)
德哈卡	单位/英雄	DehakaRoachLevel3	DehakaRoachLevel3	ok_effective_combat_link	否	否	无	stop, attack, move, BurrowDehakaRoachLevel3Down, PrimalRoachLevel2Mergeable, ProgressRally	DehakaRoachLevel3Cone	stop, attack, move, BurrowDehakaRoachLevel3Down, PrimalRoachLevel2Mergeable, ProgressRally	DehakaRoachLevel3Cone	潜地(BurrowDehakaRoachLevel3Down)
德哈卡	单位/英雄	DehakaSwarmHost	DehakaSwarmHost	ok_effective_combat_link	否	否	无	stop, move, DehakaMorphToSwarmHostBurrowed, DehakaSpawnLocustsTargeted, PrimalSwarmHostMerge, attack	SwarmHostFakeWeapon	stop, move, DehakaMorphToSwarmHostBurrowed, DehakaSpawnLocustsTargeted, PrimalSwarmHostMerge, attack	SwarmHostFakeWeapon	孵化原始蝗虫(DehakaSpawnLocustsTargeted), 潜地(DehakaMorphToSwarmHostBurrowed)
德哈卡	单位/英雄	DehakaUltraliskLevel2	DehakaUltraliskLevel2	ok_effective_combat_link	否	否	无	stop, attack, move, BurrowDehakaUltraliskLevel2Down, PrimalUltraliskMergeable, PrimalUltraliskLevel2Merge, DehakaUltraliskCrashingCharge	DehakaKaiserBladesLevel2	stop, attack, move, BurrowDehakaUltraliskLevel2Down, PrimalUltraliskMergeable, PrimalUltraliskLevel2Merge, DehakaUltraliskCrashingCharge	DehakaKaiserBladesLevel2	野蛮冲锋(DehakaUltraliskCrashingCharge), 潜地(BurrowDehakaUltraliskLevel2Down)
德哈卡	单位/英雄	DehakaUltraliskLevel3	DehakaUltraliskLevel3	ok_effective_combat_link	否	否	无	stop, attack, move, BurrowDehakaUltraliskLevel3Down, PrimalUltraliskLevel2Mergeable, DehakaTyrannozorFanOfKnives, ProgressRally	DehakaKaiserBladesLevel3, DehakaUltraliskMissileLaunchers	stop, attack, move, BurrowDehakaUltraliskLevel3Down, PrimalUltraliskLevel2Mergeable, DehakaTyrannozorFanOfKnives, ProgressRally	DehakaKaiserBladesLevel3, DehakaUltraliskMissileLaunchers	潜地(BurrowDehakaUltraliskLevel3Down)
德哈卡	单位/英雄	DehakaZerglingLevel2	DehakaZerglingLevel2	ok_effective_combat_link	否	否	无	attack, move, stop, PrimalCarryCarcass, BurrowDehakaZerglingLevel2Down, PrimalZerglingLevel2Mergeable, PrimalZerglingRavasaurMerge	DehakaZerglingLevel2	attack, move, stop, BurrowDehakaZerglingLevel2Down, PrimalZerglingLevel2Mergeable, PrimalZerglingRavasaurMerge, PrimalCarryCarcass	DehakaZerglingLevel2	潜地(BurrowDehakaZerglingLevel2Down)
德哈卡	单位/英雄	ImpalerDehaka	ImpalerDehaka	ok_effective_combat_link	否	否	无	stop, move, BurrowImpalerDehakaDown, PrimalHydraliskLevel2Mergeable, ProgressRally	ImpalerDehaka	stop, move, BurrowImpalerDehakaDown, PrimalHydraliskLevel2Mergeable, ProgressRally	ImpalerDehaka	ImpalerBurrowDown(BurrowImpalerDehakaDown)
德哈卡	单位/英雄	DehakaGuardian	DehakaGuardian	ok_effective_combat_link	否	否	无	attack, stop, move, PrimalRoachLevel3GuardianMergeable, DehakaGuardianMineCharge	DehakaAcidSpores	attack, stop, move, PrimalRoachLevel3GuardianMergeable, DehakaGuardianMineCharge	DehakaAcidSpores	无
菲尼克斯	单位/英雄	Adept	Adept	ok_effective_combat_link	否	否	无	FenixTalisAdeptMorph, FenixAdeptShadeCooldown	无	stop, attack, move, Warpable, ProgressRally, AdeptPhaseShift, AdeptPhaseShiftCancel, FenixTalisAdeptMorph, FenixAdeptShadeCooldown	Adept	无
菲尼克斯	单位/英雄	ColossusPurifier	ColossusPurifier	ok_effective_combat_link	否	否	无	FenixWarbringerColossusMorph	ThermalLances	stop, attack, move, Warpable, ProgressRally, FenixWarbringerColossusMorph	ColossusPurifierThermalLances, ThermalLances	无
菲尼克斯	单位/英雄	Observer	Observer	ok_effective_combat_link	否	否	无	attack, Warpable, ObserverMorphtoObserverSiege	无	stop, move, ObserverMorphtoObserverSiege, attack, Warpable	无	监察模式(ObserverMorphtoObserverSiege), 监察模式(ObserverMorphtoObserverSiege)
菲尼克斯	单位/英雄	Scout	Scout	ok_effective_combat_link	否	否	无	FenixMojoScoutMorph	ScoutAir, ScoutGround	FenixMojoScoutMorph	ScoutAir, ScoutGround	无
菲尼克斯	单位/英雄	SentryFenix	SentryFenix	ok_effective_combat_link	否	否	无	attack, stop, move, Warpable, ProgressRally, FenixSentryGuardianZone, SentryFenixPhasingMode	EnergizerWeapon	attack, stop, move, Warpable, ProgressRally, FenixSentryGuardianZone, SentryFenixPhasingMode	EnergizerWeapon	防护场(FenixSentryGuardianZone), 相位模式(SentryFenixPhasingMode)
菲尼克斯	单位/英雄	ZealotPurifier	ZealotPurifier	ok_effective_combat_link	否	否	无	FenixKaldalisZealotMorph	无	stop, attack, move, Warpable, ProgressRally, Charge, ZealotPurifierReviveDeath, FenixKaldalisZealotMorph	PsiBlades	无
菲尼克斯	单位/英雄	Immortal	Immortal	ok_effective_combat_link	否	否	无	FenixTaldarinImmortalMorph	PhaseDisruptorsLookAt	stop, attack, move, Warpable, ProgressRally, ImmortalBarrierBase, FenixTaldarinImmortalMorph	PhaseDisruptors, PhaseDisruptorsLookAt	屏障(ImmortalOverload)
菲尼克斯	单位/英雄	Carrier	Carrier	ok_effective_combat_link	否	否	无	FenixClolarionCarrierMorph	无	stop, attack, move, CarrierHangar, HangarQueue5, ProgressRally, FenixClolarionCarrierMorph	InterceptorLaunch, InterceptorsDummy	制造拦截机(CarrierHangar)
菲尼克斯	单位/英雄	Disruptor	Disruptor	ok_effective_combat_link	否	否	无	FenixPurificationNova, attack	DisruptorPsiBlast	stop, move, Warpable, PurificationNovaTargeted, FenixPurificationNova, attack	DisruptorPsiBlast	无
霍纳与汉	单位/英雄	HHBattlecruiser	HHBattlecruiser	ok_effective_combat_link	否	否	无	stop, attack, move, Yamato, que1, HHBattlecruiserHyperjump, HHYamatoShots	HHATALaserBattery, HHLaserBattery	stop, attack, move, Yamato, que1, HHBattlecruiserHyperjump, HHYamatoShots	HHATALaserBattery, HHLaserBattery	战术跳跃(HHBattlecruiserHyperjump), 超载反应堆(HHYamatoShots), 变回ATX激光炮组(HHYamatoShots)
霍纳与汉	单位/英雄	HHHellion	HHHellion	ok_effective_combat_link	否	否	无	stop, attack, move, MorphToHHHellionTank, HHHellionBomb	HHHellionPunisherGrenades, HHHellionPunisherGrenadesFake	stop, attack, move, MorphToHHHellionTank, HHHellionBomb	HHHellionPunisherGrenades, HHHellionPunisherGrenadesFake	恶蝠模式(MorphToHHHellionTank), 焦油炸弹(HHHellionBomb)
霍纳与汉	单位/英雄	HHHellionTank	HHHellionTank	ok_effective_combat_link	否	否	无	stop, attack, move, MorphToHHHellion	HHHellionTank	stop, attack, move, MorphToHHHellion	HHHellionTank	恶火模式(MorphToHHHellion)
霍纳与汉	单位/英雄	HHRaven	HHRaven	ok_effective_combat_link	否	否	无	attack, stop, move, WarpableNova, HHRavenMorphtoHHRavenSiege, RavenTargetLock, FleetwideJump	HHNomadFakeWeapon	attack, stop, move, WarpableNova, HHRavenMorphtoHHRavenSiege, RavenTargetLock, FleetwideJump	HHNomadFakeWeapon	战术跳跃(FleetwideJump), 分析弱点(RavenTargetLock), 启动消音模式(HHRavenMorphtoHHRavenSiege)
霍纳与汉	单位/英雄	HHReaper	HHReaper	ok_effective_combat_link	否	否	无	stop, attack, move, HHD8SingleCharge, HHD8Charge, ReaperFlyMorph, HHReaperFly	HHReaperP38ScytheGuassPistol, HHReaperD8Charge	stop, attack, move, HHD8SingleCharge, HHD8Charge, ReaperFlyMorph, HHReaperFly	HHReaperP38ScytheGuassPistol, HHReaperD8Charge	KD8型炸弹(HHD8SingleCharge), 喷气背包加力(HHReaperFly)
霍纳与汉	单位/英雄	HHVikingFighter	HHVikingFighter	ok_effective_combat_link	否	否	无	stop, attack, move, HHAssaultMode, VehicleAfterburners, FleetwideJump, HHVikingRockets	HHLanzerTorpedoes	stop, attack, move, HHAssaultMode, VehicleAfterburners, FleetwideJump, HHVikingRockets	HHLanzerTorpedoes	战术跳跃(FleetwideJump), 狂暴飞弹(HHVikingRockets), 机甲模式(HHAssaultMode)
霍纳与汉	单位/英雄	HHWidowMine	HHWidowMine	ok_effective_combat_link	否	否	无	HHWidowMineBurrow, stop, move, HHWidowMineBlossom	HHWidowMineDummy	HHWidowMineBurrow, stop, move, HHWidowMineBlossom	HHWidowMineDummy	攻击(HHWidowMineAttack), 激活地雷(HHWidowMineBurrow)
霍纳与汉	单位/英雄	HHWraith	HHWraith	ok_effective_combat_link	否	否	无	stop, attack, move, HHWraithCloak, FleetwideJump	HHWraith	stop, attack, move, HHWraithCloak, FleetwideJump	HHWraith	战术跳跃(FleetwideJump), WraithCloakOff(HHWraithCloak)
霍纳与汉	单位/英雄	Predator	Predator	noncombat_or_no_weapon	否	否	无	无	无	无	无	无
霍纳与汉	单位/英雄	Liberator	Liberator	ok_effective_combat_link	否	否	无	WarpableNova, VehicleAfterburners	无	stop, attack, move, LiberatorMorphtoAG, LiberatorAGTarget, WarpableNova, VehicleAfterburners	LiberatorMissileLaunchers	防卫模式(LiberatorAGTarget), 后燃推进系统(VehicleAfterburners)
凯拉克斯	单位/英雄	ImmortalAiur	ImmortalAiur	ok_effective_combat_link	否	否	无	ImmortalBarrierBase, ImmortalShakurasShadowCannon	PhaseDisruptorsLookAt	stop, attack, move, Warpable, ProgressRally, ImmortalBarrierBase, FenixTaldarinImmortalMorph, ImmortalShakurasShadowCannon	PhaseDisruptors, PhaseDisruptorsLookAt	ImmortalBarrierBase(ImmortalBarrierBase), ImmortalShakurasShadowCannon(ImmortalShakurasShadowCannon)
凯拉克斯	单位/英雄	Observer	Observer	ok_effective_combat_link	否	否	无	attack, Warpable, ObserverMorphtoObserverSiege	无	stop, move, ObserverMorphtoObserverSiege, attack, Warpable	无	监察模式(ObserverMorphtoObserverSiege), 监察模式(ObserverMorphtoObserverSiege)
凯拉克斯	单位/英雄	PhoenixPurifier	PhoenixPurifier	ok_effective_combat_link	否	否	无	MirageGravitonBeamVoidCampaign	ArtanisIonCannons	stop, attack, move, GravitonBeam, GravitonBeamVoidCampaign, Warpable, ProgressRally, MirageGravitonBeamVoidCampaign	ArtanisIonCannons	引力光束(MirageGravitonBeamVoidCampaign), GravitonBeamVoidCampaign(GravitonBeamVoidCampaign)
凯拉克斯	单位/英雄	Scout	Scout	ok_effective_combat_link	否	否	无	FenixMojoScoutMorph	ScoutAir, ScoutGround	FenixMojoScoutMorph	ScoutAir, ScoutGround	无
凯拉克斯	单位/英雄	SentryPurifier	SentryPurifier	ok_effective_combat_link	否	否	无	EnergizerReclamation	无	attack, stop, move, Warpable, ProgressRally, BuildInProgress, VoidSentryChronoBeam, VoidSentryPhasingMode, EnergizerReclamation	EnergizerWeapon	无
凯拉克斯	单位/英雄	ZealotPurifier	ZealotPurifier	ok_effective_combat_link	否	否	无	FenixKaldalisZealotMorph	无	stop, attack, move, Warpable, ProgressRally, Charge, ZealotPurifierReviveDeath, FenixKaldalisZealotMorph	PsiBlades	无
凯拉克斯	单位/英雄	Colossus	Colossus	ok_effective_combat_link	否	否	无	无	无	stop, attack, move, Warpable, ProgressRally	ThermalLances	无
凯拉克斯	单位/英雄	Carrier	Carrier	ok_effective_combat_link	否	否	无	FenixClolarionCarrierMorph	无	stop, attack, move, CarrierHangar, HangarQueue5, ProgressRally, FenixClolarionCarrierMorph	InterceptorLaunch, InterceptorsDummy	制造拦截机(CarrierHangar)
