Kind	Id	Commanders	Scenarios	ProfileUsageCount	LocalTag	LocalSource	Completeness	ManualFallback	ManualFactory	DirectReferenceCount	IssueRows	MissingRows	ExternalRows
ability	BroodLordStetmannBomberMagazine	Stetmann	unit_or_evolution_dynamic	1	CAbilArmMagazine	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		5	7	0	6
ability	BroodLordStetmannBroodlingEscortArmAugment	Stetmann	unit_or_evolution_dynamic	1	CAbilAugment	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		4	1	0	1
ability	BroodLordStetmannYamatoGun	Stetmann	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		4	2	0	2
ability	BrutaliskDeepTunnel	Abathur	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	2	0	2
ability	BuildAutoTurret_BlackOps	Nova	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	8	0	8
ability	BunkerDepotMengskDrop	Mengsk	panel_cost_smoke	3	CAbilBuild	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	1	0	1
ability	BurrowBanelingDownStetmann	Stetmann	unit_or_evolution_dynamic	1	CAbilMorph	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	1	0	1
ability	BurrowBrutaliskDown	Abathur	unit_or_evolution_dynamic	1	CAbilMorph	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		2	2	0	2
ability	BurrowDehakaHydraliskLevel2Down	Dehaka	unit_or_evolution_dynamic	1	CAbilMorph	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	1	0	1
ability	BurrowDehakaRavasaurDown	Dehaka	unit_or_evolution_dynamic	1	CAbilMorph	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	1	0	1
ability	BurrowDehakaRoachLevel2Down	Dehaka	unit_or_evolution_dynamic	1	CAbilMorph	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	2	0	2
ability	BurrowDehakaRoachLevel3Down	Dehaka	unit_or_evolution_dynamic	1	CAbilMorph	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	2	0	2
ability	BurrowDehakaUltraliskLevel2Down	Dehaka	unit_or_evolution_dynamic	1	CAbilMorph	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		2	3	0	3
ability	BurrowDehakaUltraliskLevel3Down	Dehaka	unit_or_evolution_dynamic	1	CAbilMorph	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		2	3	0	3
ability	BurrowDehakaZerglingLevel2Down	Dehaka	unit_or_evolution_dynamic	1	CAbilMorph	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	1	0	1
ability	BurrowHydraliskDownStetmann	Stetmann	unit_or_evolution_dynamic	1	CAbilMorph	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	2	0	2
ability	BurrowImpalerDehakaDown	Dehaka	unit_or_evolution_dynamic	1	CAbilMorph	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	4	0	4
ability	BurrowInfestorDownStetmann	Stetmann	unit_or_evolution_dynamic	1	CAbilMorph	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	1	0	1
ability	BurrowLurkerDownStetmann	Stetmann	unit_or_evolution_dynamic	1	CAbilMorph	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	0	0	0
ability	BurrowLurkerUpStetmann	Stetmann	unit_or_evolution_dynamic	1	CAbilMorph	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		2	0	0	0
ability	BurrowRavagerAbathurDown	Abathur	unit_or_evolution_dynamic	1	CAbilMorph	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	2	0	2
ability	BurrowRavagerDownStetmann	Stetmann	unit_or_evolution_dynamic	1	CAbilMorph	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	1	0	1
ability	BurrowRoachDownStetmann	Stetmann	unit_or_evolution_dynamic	1	CAbilMorph	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	2	0	2
ability	BurrowSIInfestedCivilianDown	Stukov	unit_or_evolution_dynamic	1	CAbilMorph	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		2	0	0	0
ability	BurrowSIInfestedMarineDown	Stukov	unit_or_evolution_dynamic	1	CAbilMorph	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		2	0	0	0
ability	BurrowStukovInfestedBansheeDown	Stukov	unit_or_evolution_dynamic	1	CAbilMorph	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	1	0	1
ability	BurrowUltraliskDown	Kerrigan,Zagara	unit_or_evolution_dynamic	5	CAbilMorph	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	manual-ability-stub	yes	abilityStub	1	0	0	0
ability	BurrowUltraliskDownStetmann	Stetmann	unit_or_evolution_dynamic	1	CAbilMorph	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		2	3	0	3
ability	BurrowUltraliskUp	Abathur,Kerrigan,Zagara	unit_or_evolution_dynamic	6	CAbilMorph	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	manual-ability-stub	yes	abilityStub	1	0	0	0
ability	BurrowZerglingDownStetmann	Stetmann	unit_or_evolution_dynamic	1	CAbilMorph	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	1	0	1
ability	CarrierHangar	Fenix,Karax	unit_or_evolution_dynamic	2	CAbilArmMagazine	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	manual-ability-stub	yes	abilityCommandStub	1	0	0	0
ability	CausticSpray	Zagara	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-minimal	no		1	0	0	0
ability	Charge	Artanis,Vorazun	unit_or_evolution_dynamic	2	CAbilAugment	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-minimal	no		1	1	0	1
ability	CommanderPrestigeDehakaPackLeadersRetreat	Dehaka	unit_or_evolution_dynamic	3	CAbilEffectInstant	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	0	0	0
ability	CommanderPrestigeStukovBansheesDeploy	Stukov	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-minimal	no		3	0	0	0
ability	CommanderPrestigeStukovBansheeTransport	Stukov	unit_or_evolution_dynamic	2	CAbilTransport	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-minimal	no		7	0	0	0
ability	CommanderPrestigeVorazunTimeStop	Vorazun	panel_cost_smoke	2	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-minimal	no		2	1	0	1
ability	CommanderPrestigeZagaraZagaraDeepTunnel	Zagara	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	2	0	2
ability	CoopMurvarSpawnCreepers	Dehaka	unit_or_evolution_dynamic	1	CAbilEffectInstant	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-minimal	no		2	1	0	1
ability	Corruption	Zagara	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-minimal	no		0	0	0	0
ability	CorruptorStetmannCausticSpray	Stetmann	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	1	0	1
ability	CorruptorStetmannMissilePods	Stetmann	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	3	0	3
ability	CorsairMPDisruptionWeb	Vorazun	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-minimal	no		1	0	0	0
ability	DarkTemplarShadowDash	Vorazun	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-minimal	no		2	0	0	0
ability	DarkTemplarShadowFury	Vorazun	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-minimal	no		1	0	0	0
ability	DefensiveMatrixSwann	Swann	unit_or_evolution_dynamic	1			external-xm-dependency-node	no		0	1	0	1
ability	DehakaAirAttackUpgrade	Dehaka	unit_or_evolution_dynamic	1	CAbilBehavior	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		4	0	0	0
ability	DehakaArmorUpgrade	Dehaka	unit_or_evolution_dynamic	1	CAbilBehavior	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		4	0	0	0
ability	DehakaConsume	Dehaka	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		2	3	0	3
ability	DehakaDakrunTopBar	Dehaka	panel_cost_smoke	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		4	3	0	3
ability	DehakaDetector	Dehaka	unit_or_evolution_dynamic	1	CAbilBehavior	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		4	0	0	0
ability	DehakaDroneMorph	Dehaka	unit_or_evolution_dynamic	6	CAbilBuild	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		16	16	0	13
ability	DehakaGlevigTopBar	Dehaka	panel_cost_smoke	2	CAbilBuild	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		4	5	0	5
ability	DehakaIntimidatingRoar	Dehaka	unit_or_evolution_dynamic	1	CAbilEffectInstant	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		7	0	0	0
ability	DehakaLeapStomp	Dehaka	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	4	0	4
ability	DehakaLearn	Dehaka	unit_or_evolution_dynamic	4	CAbilLearn	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		9	0	0	0
ability	DehakaLocustFlyingSwoopAttack	Dehaka	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		2	1	0	1
ability	DehakaMendingAura	Dehaka	unit_or_evolution_dynamic	1	CAbilBehavior	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		4	1	0	1
ability	DehakaMorphToPrimalSwarmHostBurrowed	Dehaka	unit_or_evolution_dynamic	1	CAbilMorph	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	4	0	4
ability	DehakaMorphToSwarmHostBurrowed	Dehaka	unit_or_evolution_dynamic	1	CAbilMorph	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	4	0	4
ability	DehakaMurvarTopBar	Dehaka	panel_cost_smoke	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		4	5	0	5
ability	DehakaNydusDestroyerTopBar	Dehaka	panel_cost_smoke	1	CAbilBuild	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		4	7	0	7
ability	DehakaSpawnCreeperTargeted	Dehaka	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	3	0	3
ability	DehakaSpawnLocustsTargeted	Dehaka	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	3	0	3
ability	DehakaUltraliskCrashingCharge	Dehaka	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		9	15	0	15
ability	DeployPowerTowerStetmann	Stetmann	panel_cost_smoke	2	CAbilBuild	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		2	1	0	0
ability	DeploySpiderMines	Nova	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		4	3	0	3
ability	DrakkenLaserDrillAttackIssueOrder	Swann	panel_cost_smoke	3	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	1	0	1
ability	DrakkenLaserDrillConcentratedBeamIssueOrder	Swann	panel_cost_smoke	2	CAbilEffectInstant	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-minimal	no		2	0	0	0
ability	DrakkenLaserDrillPulseCannonIssueOrder	Swann	panel_cost_smoke	2	CAbilEffectInstant	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-minimal	no		2	0	0	0
ability	EMPBlackOps	Nova	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		4	3	0	3
ability	Explode	Zagara	unit_or_evolution_dynamic	1	CAbilEffectInstant	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-minimal	no		0	0	0	0
ability	Feedback	Artanis	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	manual-ability-stub	yes	abilityStub	1	0	0	0
ability	FenixSentryGuardianZone	Fenix	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	0	0	0
ability	FighterModeMengsk	Mengsk	unit_or_evolution_dynamic	1	CAbilMorph	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		4	3	0	3
ability	FleetwideJump	Horner	unit_or_evolution_dynamic	3	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		4	2	0	2
ability	GaryStetmannOrb	Stetmann	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		2	1	0	1
ability	GaryStetmannPowerTowerOverchargeEnergy	Stetmann	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	2	0	2
ability	GaryStetmannRecall	Stetmann	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		2	3	0	3
ability	GenerateCreepStukov	Stukov	unit_or_evolution_dynamic	1	CAbilBehavior	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		4	4	0	4
ability	GhostCloak	Nova	unit_or_evolution_dynamic	2	CAbilBehavior	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-minimal	no		1	0	0	0
ability	GhostHoldFire	Nova	unit_or_evolution_dynamic	1	CAbilEffectInstant	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	manual-ability-stub	yes	abilityStub	1	0	0	0
ability	GhostMengskEMPShortStun	Mengsk	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		5	6	0	5
ability	GhostMengskHoldFire	Mengsk	unit_or_evolution_dynamic	1	CAbilEffectInstant	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-minimal	no		2	0	0	0
ability	GhostMengskIrradiateSmallDamage	Mengsk	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		7	0	0	0
ability	GhostMengskNuke	Mengsk	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		5	1	0	1
ability	GhostMengskSuperCloak	Mengsk	unit_or_evolution_dynamic	1	CAbilEffectInstant	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		4	1	0	1
ability	GhostMengskWeaponsFree	Mengsk	unit_or_evolution_dynamic	1	CAbilEffectInstant	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-minimal	no		2	0	0	0
ability	GhostWeaponsFree	Nova	unit_or_evolution_dynamic	1	CAbilEffectInstant	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	manual-ability-stub	yes	abilityStub	1	0	0	0
ability	GlevigDeepTunnel	Dehaka	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		4	2	0	2
ability	GravitonBeamVoidCampaign	Karax	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	manual-ability-stub	yes	abilityStub	1	0	0	0
ability	HealPlusMech	Raynor	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-minimal	no		1	0	0	0
ability	HellbatCharge	Nova	unit_or_evolution_dynamic	1	CAbilAugment	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		4	6	0	6
ability	HHAssaultMode	Horner	unit_or_evolution_dynamic	1	CAbilMorph	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		2	3	0	3
ability	HHBattlecruiserHyperjump	Horner	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	2	0	2
ability	HHBomberPlatformAreaBombTopBarDummyTimer	Horner	panel_cost_smoke	2	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		4	1	0	1
ability	HHBomberPlatformAreaBombTopBarOrder	Horner	panel_cost_smoke	2	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		4	1	0	1
ability	HHD8SingleCharge	Horner	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		2	2	0	2
ability	HHHellionBomb	Horner	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		4	3	0	3
ability	HHRavenMorphtoHHRavenSiege	Horner	unit_or_evolution_dynamic	1	CAbilMorph	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	3	0	3
ability	HHReaperFly	Horner	unit_or_evolution_dynamic	1	CAbilEffectInstant	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	3	0	3
ability	HHSummonMercenarySpaceStation	Horner	panel_cost_smoke	2	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	6	0	6
ability	HHTrainTopBar	Horner	panel_cost_smoke	3	CAbilBuild	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		4	1	0	1
ability	HHVikingRockets	Horner	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		5	6	0	6
ability	HHWidowMineAttack	Horner	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-minimal	no		6	3	0	3
ability	HHWidowMineBurrow	Horner	unit_or_evolution_dynamic	1	CAbilMorph	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	9	0	9
