File	Size	MatchedBy	Snippet
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zkorhal02.sc2map\enus.sc2data\localizeddata\triggerstrings.txt	17555	Mend	gger/Name/47079DF9=Grant Drag Alternate  Trigger/Name/4810BBF1=Teach - Dehaka - Mend Used  Trigger/Name/490A8BB9=Start Game Q  Trigger/Name/4B09E6C0=Intro Cleanup  
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zkorhal02.sc2map\eses.sc2data\localizeddata\triggerstrings.txt	19977	Mend	ger/Name/4565212A=Handle Kerrigan Death  Trigger/Name/4810BBF1=Teach - Dehaka - Mend Used  Trigger/Name/490A3A00=Start P04 Teal Attack Waves  Trigger/Name/490A8BB9=
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zkorhal02.sc2map\esmx.sc2data\localizeddata\triggerstrings.txt	19977	Mend	ger/Name/4565212A=Handle Kerrigan Death  Trigger/Name/4810BBF1=Teach - Dehaka - Mend Used  Trigger/Name/490A3A00=Start P04 Teal Attack Waves  Trigger/Name/490A8BB9=
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zkorhal02.sc2map\frfr.sc2data\localizeddata\triggerstrings.txt	19977	Mend	ger/Name/4565212A=Handle Kerrigan Death  Trigger/Name/4810BBF1=Teach - Dehaka - Mend Used  Trigger/Name/490A3A00=Start P04 Teal Attack Waves  Trigger/Name/490A8BB9=
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zkorhal02.sc2map\itit.sc2data\localizeddata\triggerstrings.txt	19977	Mend	ger/Name/4565212A=Handle Kerrigan Death  Trigger/Name/4810BBF1=Teach - Dehaka - Mend Used  Trigger/Name/490A3A00=Start P04 Teal Attack Waves  Trigger/Name/490A8BB9=
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zkorhal02.sc2map\kokr.sc2data\localizeddata\triggerstrings.txt	19977	Mend	ger/Name/4565212A=Handle Kerrigan Death  Trigger/Name/4810BBF1=Teach - Dehaka - Mend Used  Trigger/Name/490A3A00=Start P04 Teal Attack Waves  Trigger/Name/490A8BB9=
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zkorhal02.sc2map\plpl.sc2data\localizeddata\triggerstrings.txt	19977	Mend	ger/Name/4565212A=Handle Kerrigan Death  Trigger/Name/4810BBF1=Teach - Dehaka - Mend Used  Trigger/Name/490A3A00=Start P04 Teal Attack Waves  Trigger/Name/490A8BB9=
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zkorhal02.sc2map\ptbr.sc2data\localizeddata\triggerstrings.txt	19977	Mend	ger/Name/4565212A=Handle Kerrigan Death  Trigger/Name/4810BBF1=Teach - Dehaka - Mend Used  Trigger/Name/490A3A00=Start P04 Teal Attack Waves  Trigger/Name/490A8BB9=
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zkorhal02.sc2map\ruru.sc2data\localizeddata\triggerstrings.txt	19977	Mend	ger/Name/4565212A=Handle Kerrigan Death  Trigger/Name/4810BBF1=Teach - Dehaka - Mend Used  Trigger/Name/490A3A00=Start P04 Teal Attack Waves  Trigger/Name/490A8BB9=
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zkorhal02.sc2map\zhcn.sc2data\localizeddata\triggerstrings.txt	19977	Mend	ger/Name/4565212A=Handle Kerrigan Death  Trigger/Name/4810BBF1=Teach - Dehaka - Mend Used  Trigger/Name/490A3A00=Start P04 Teal Attack Waves  Trigger/Name/490A8BB9=
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zkorhal02.sc2map\zhtw.sc2data\localizeddata\triggerstrings.txt	19977	Mend	ger/Name/4565212A=Handle Kerrigan Death  Trigger/Name/4810BBF1=Teach - Dehaka - Mend Used  Trigger/Name/490A3A00=Start P04 Teal Attack Waves  Trigger/Name/490A8BB9=
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zstorychar.sc2map\enus.sc2data\localizeddata\triggerstrings.txt	1987	Leviathan	ArcAfter  Trigger/Name/41A1F406=Convo Zagara Line Handle  Trigger/Name/4232DCD4=Leviathan Birth  Trigger/Name/454213F1=Initialization  Trigger/Name/539A2927=View Char Se
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zstoryexpedition.sc2map\enus.sc2data\localizeddata\triggerstrings.txt	1975	Leviathan	Expedition01  Trigger/Name/26F3F3CB=Kaldr Init 05 Scenes  Trigger/Name/2CB4FFAF=Leviathan Birth - Leviathan Anim  Trigger/Name/3048CFCE=Kaldr Init 01 Units  Trigger/Name
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zstoryhybrid.sc2map\enus.sc2data\localizeddata\triggerstrings.txt	1740	Leviathan	0  Variable/Name/254FDB5C=UNIT SET - Dusk 03  Variable/Name/36744BFE=UNIT SET - Leviathan 02  Variable/Name/43A143E3=Ambient Scenes Initialized  Variable/Name/742E6907=U
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zstorykorhal.sc2map\enus.sc2data\localizeddata\triggerstrings.txt	2157	Leviathan	4=Planet Arrival  Trigger/Name/4D16FCFB=Planet Departure  Trigger/Name/4D2C367F=Leviathan Birth - Leviathan Anim  Trigger/Name/582A52C1=Convo Stukov Pre  Trigger/Name/5D
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zstoryspace.sc2map\enus.sc2data\localizeddata\triggerstrings.txt	1985	Leviathan	01 Units  Trigger/Name/3233E046=Convo Dehaka Line Handle  Trigger/Name/40AF7258=Leviathan Birth  Trigger/Name/454213F1=Initialization  Trigger/Name/6161EBD0=Convo Dehaka
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zstoryzerus.sc2map\enus.sc2data\localizeddata\triggerstrings.txt	1748	Leviathan	Variable/Name/43F9C7BD=Ambient Scenes Played  Variable/Name/9DB3140B=UNIT SET - Leviathan 02  Variable/Name/B14DD96A=UNIT SET - Leviathan 01  Variable/Name/BCAF2D7E=UNIT
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zzerus03.sc2map\enus.sc2data\localizeddata\triggerstrings.txt	24610	Mend	 Tunnel Q  Trigger/Name/B5D04C0A=Zurvan Banter Phase 1 Q  Trigger/Name/B8949944=Mend Tip Q  Trigger/Name/BC40DD32=Slivan Intro Cleanup Not Skipped  Trigger/Name/BFD
campaigns\void.sc2campaign\base.sc2maps\maps\campaign\void\paiur06.sc2map\enus.sc2data\localizeddata\triggerstrings.txt	13896	Brutalisk	/Name/333B7AEF=Armada Attack 10 (Mid)  Trigger/Name/35283A9C=Mastery - Kill the Brutalisk  Trigger/Name/37059BC0=Armada Attack 2 (Top Mid)  Trigger/Name/37FAA2A5=Buildin
mods\novastoryassets.sc2mod\base.sc2maps\maps\campaign\nova\nova02.sc2map\enus.sc2data\localizeddata\triggerstrings.txt	13013	Brutalisk	/FEA2499E=Victory  Variable/Name/0331716E=waveGroupPing  Variable/Name/037076D8=Brutalisk Life  Variable/Name/0B87D803=FadeDuration  Variable/Name/0F908F21=Achievement_S
campaigns\liberty.sc2campaign\zhcn.sc2data\localizeddata\triggerstrings.txt	266168	Brutalisk	  PresetValue/Name/lib_Camp_2F37B52E=研究目标 - 杀死莽兽 /// Research Object - Kill the Brutalisk  PresetValue/Name/lib_Camp_2F5738BD=人类泽拉图04 - 消灭敌方部队 /// TZeratul04 - Kill Enem
mods\core.sc2mod\zhcn.sc2data\localizeddata\triggerstrings.txt	1390663	Mend	int/lib_Ntve_55BC29B4=Returns the ideal harvester count for this unit. The recommended number of workers that should be harvesting to/from the given unit.   Functio
mods\starcoop\starcoop.sc2mod\dede.sc2data\localizeddata\triggerstrings.txt	711216	Abathur	Category/Name/lib_COMI_00F1EEA1=Abathur ///Auto - Copied from enUS Locale  Category/Name/lib_COMI_01736D88=Strafe Attack ///Auto - Copied from enUS Locale  Category/Na
mods\starcoop\starcoop.sc2mod\eses.sc2data\localizeddata\triggerstrings.txt	711216	Abathur	Category/Name/lib_COMI_00F1EEA1=Abathur ///Auto - Copied from enUS Locale  Category/Name/lib_COMI_01736D88=Strafe Attack ///Auto - Copied from enUS Locale  Category/Na
mods\starcoop\starcoop.sc2mod\esmx.sc2data\localizeddata\triggerstrings.txt	711216	Abathur	Category/Name/lib_COMI_00F1EEA1=Abathur ///Auto - Copied from enUS Locale  Category/Name/lib_COMI_01736D88=Strafe Attack ///Auto - Copied from enUS Locale  Category/Na
mods\starcoop\starcoop.sc2mod\frfr.sc2data\localizeddata\triggerstrings.txt	711216	Abathur	Category/Name/lib_COMI_00F1EEA1=Abathur ///Auto - Copied from enUS Locale  Category/Name/lib_COMI_01736D88=Strafe Attack ///Auto - Copied from enUS Locale  Category/Na
mods\starcoop\starcoop.sc2mod\itit.sc2data\localizeddata\triggerstrings.txt	711216	Abathur	Category/Name/lib_COMI_00F1EEA1=Abathur ///Auto - Copied from enUS Locale  Category/Name/lib_COMI_01736D88=Strafe Attack ///Auto - Copied from enUS Locale  Category/Na
mods\starcoop\starcoop.sc2mod\kokr.sc2data\localizeddata\triggerstrings.txt	711216	Abathur	Category/Name/lib_COMI_00F1EEA1=Abathur ///Auto - Copied from enUS Locale  Category/Name/lib_COMI_01736D88=Strafe Attack ///Auto - Copied from enUS Locale  Category/Na
mods\starcoop\starcoop.sc2mod\plpl.sc2data\localizeddata\triggerstrings.txt	711216	Abathur	Category/Name/lib_COMI_00F1EEA1=Abathur ///Auto - Copied from enUS Locale  Category/Name/lib_COMI_01736D88=Strafe Attack ///Auto - Copied from enUS Locale  Category/Na
mods\starcoop\starcoop.sc2mod\ptbr.sc2data\localizeddata\triggerstrings.txt	711216	Abathur	Category/Name/lib_COMI_00F1EEA1=Abathur ///Auto - Copied from enUS Locale  Category/Name/lib_COMI_01736D88=Strafe Attack ///Auto - Copied from enUS Locale  Category/Na
mods\starcoop\starcoop.sc2mod\ruru.sc2data\localizeddata\triggerstrings.txt	711216	Abathur	Category/Name/lib_COMI_00F1EEA1=Abathur ///Auto - Copied from enUS Locale  Category/Name/lib_COMI_01736D88=Strafe Attack ///Auto - Copied from enUS Locale  Category/Na
mods\starcoop\starcoop.sc2mod\zhcn.sc2data\localizeddata\triggerstrings.txt	711216	Abathur	Category/Name/lib_COMI_00F1EEA1=Abathur ///Auto - Copied from enUS Locale  Category/Name/lib_COMI_01736D88=Strafe Attack ///Auto - Copied from enUS Locale  Category/Na
mods\starcoop\starcoop.sc2mod\zhtw.sc2data\localizeddata\triggerstrings.txt	711216	Abathur	Category/Name/lib_COMI_00F1EEA1=Abathur ///Auto - Copied from enUS Locale  Category/Name/lib_COMI_01736D88=Strafe Attack ///Auto - Copied from enUS Locale  Category/Na
campaigns\libertystory.sc2campaign\zhcn.sc2data\localizeddata\triggerstrings.txt	288608	Brutalisk	  PresetValue/Name/lib_Camp_2F37B52E=研究目标 - 杀死莽兽 /// Research Object - Kill the Brutalisk  PresetValue/Name/lib_Camp_2F5738BD=人类泽拉图04 - 消灭敌方部队 /// TZeratul04 - Kill Enem
campaigns\voidstory.sc2campaign\dede.sc2data\localizeddata\triggerstrings.txt	580681	Mend	cified unit ability.  Due to the smart lookup done by this function, it is recommended to avoid using this function with a high frequency. ///Auto - Copied from enU
campaigns\voidstory.sc2campaign\eses.sc2data\localizeddata\triggerstrings.txt	580681	Mend	cified unit ability.  Due to the smart lookup done by this function, it is recommended to avoid using this function with a high frequency. ///Auto - Copied from enU
campaigns\voidstory.sc2campaign\esmx.sc2data\localizeddata\triggerstrings.txt	580681	Mend	cified unit ability.  Due to the smart lookup done by this function, it is recommended to avoid using this function with a high frequency. ///Auto - Copied from enU
campaigns\voidstory.sc2campaign\frfr.sc2data\localizeddata\triggerstrings.txt	580681	Mend	cified unit ability.  Due to the smart lookup done by this function, it is recommended to avoid using this function with a high frequency. ///Auto - Copied from enU
campaigns\voidstory.sc2campaign\itit.sc2data\localizeddata\triggerstrings.txt	580681	Mend	cified unit ability.  Due to the smart lookup done by this function, it is recommended to avoid using this function with a high frequency. ///Auto - Copied from enU
campaigns\voidstory.sc2campaign\kokr.sc2data\localizeddata\triggerstrings.txt	580681	Mend	cified unit ability.  Due to the smart lookup done by this function, it is recommended to avoid using this function with a high frequency. ///Auto - Copied from enU
campaigns\voidstory.sc2campaign\plpl.sc2data\localizeddata\triggerstrings.txt	580681	Mend	cified unit ability.  Due to the smart lookup done by this function, it is recommended to avoid using this function with a high frequency. ///Auto - Copied from enU
campaigns\voidstory.sc2campaign\ptbr.sc2data\localizeddata\triggerstrings.txt	580681	Mend	cified unit ability.  Due to the smart lookup done by this function, it is recommended to avoid using this function with a high frequency. ///Auto - Copied from enU
campaigns\voidstory.sc2campaign\ruru.sc2data\localizeddata\triggerstrings.txt	580681	Mend	cified unit ability.  Due to the smart lookup done by this function, it is recommended to avoid using this function with a high frequency. ///Auto - Copied from enU
campaigns\voidstory.sc2campaign\zhcn.sc2data\localizeddata\triggerstrings.txt	580681	Mend	cified unit ability.  Due to the smart lookup done by this function, it is recommended to avoid using this function with a high frequency. ///Auto - Copied from enU
campaigns\voidstory.sc2campaign\zhtw.sc2data\localizeddata\triggerstrings.txt	580681	Mend	cified unit ability.  Due to the smart lookup done by this function, it is recommended to avoid using this function with a high frequency. ///Auto - Copied from enU
campaigns\void.sc2campaign\enus.sc2data\localizeddata\conversationstrings.txt	67020	Abathur	're starting to make me reconsider that.  VoiceOver/KerriganVoid/Pissed07=I bet Abathur could mutate you into something real special.  VoiceOver/KerriganVoid/Pissed08=
campaigns\void.sc2campaign\zhcn.sc2data\localizeddata\conversationstrings.txt	102802	Abathur	reconsider that.  VoiceOver/KerriganVoid/Pissed07=我相信阿巴瑟能把你变成非常有趣的东西。 /// I bet Abathur could mutate you into something real special.  VoiceOver/KerriganVoid/Pissed08=
mods\liberty.sc2mod\enus.sc2data\localizeddata\conversationstrings.txt	405674	Abathur	=Queen  ConversationState/Characters/ModUtilityVoice=ModUtilityVoice  VoiceOver/AbathurA/AddOnComplete00=Add-on constructed.  VoiceOver/AbathurA/AddOnComplete01=Add-on
mods\liberty.sc2mod\zhcn.sc2data\localizeddata\conversationstrings.txt	447422	Abathur	 Queen  ConversationState/Characters/ModUtilityVoice=ModUtilityVoice  VoiceOver/AbathurA/AddOnComplete00=附属建筑已建造。 /// Add-on constructed.  VoiceOver/AbathurA/AddOnComp
mods\starcoop\starcoop.sc2mod\enus.sc2data\localizeddata\conversationstrings.txt	688927	Abathur	onversation/acAttackWave/Group00042=Karax  Conversation/acAttackWave/Group00043=Abathur  Conversation/acAttackWave/Group00044=Abathur  Conversation/acAttackWave/Group0
mods\starcoop\starcoop.sc2mod\zhcn.sc2data\localizeddata\conversationstrings.txt	1009319	Abathur	strategy, inferior.  Conversation/acVictory/Line00058=生物体阿巴瑟，是最强的。 /// Organism Abathur, strongest there is.  Conversation/acVictory/Line00059=任务完成，行动成功。 /// Mission c
campaigns\swarmstory.sc2campaign\enus.sc2data\localizeddata\conversationstrings.txt	749547	Abathur	 awake, Warfield's Gorgon is done for.  Conversation/zBriefing_Char02/Line00029=Abathur revived me for the battle. This is the Bone Trench, the only approach to the te
campaigns\swarmstory.sc2campaign\zhcn.sc2data\localizeddata\conversationstrings.txt	1168135	Abathur	for.  Conversation/zBriefing_Char02/Line00029=阿巴瑟复活了我。这里是亡骨壕沟，是通往人类堡垒的唯一道路。 /// Abathur revived me for the battle. This is the Bone Trench, the only approach to the te
campaigns\voidstory.sc2campaign\zhcn.sc2data\localizeddata\conversationstrings.txt	866523	Mend	00057=星界光辉会治愈我的伤口…… /// [Serious]Celestial radiance[/Serious] [Surprise 70]will mend[/Surprise] my wounds...  Conversation/Mission_Epilogue03/Line00058=情况有变化了。虚空正开始
mods\novastoryassets.sc2mod\enus.sc2data\localizeddata\conversationstrings.txt	243688	Leviathan	05/Comment00016=The lights still blink. Behind the clouds, the shadowy forms of leviathans descend upon the unsuspecting planet.   Conversation/SMX3_Cutscene_MP02_005/Co
mods\novastoryassets.sc2mod\zhcn.sc2data\localizeddata\conversationstrings.txt	287083	Leviathan	05/Comment00016=The lights still blink. Behind the clouds, the shadowy forms of leviathans descend upon the unsuspecting planet.   Conversation/SMX3_Cutscene_MP02_005/Co
campaigns\liberty.sc2campaign\enus.sc2data\localizeddata\gamehotkeys.txt	26891	Leviathan	n/Hotkey/LeadFarmer_USD=None  Button/Hotkey/LeadFarmer_USDL=None  Button/Hotkey/LeviathanSpawnMutalisk=U  Button/Hotkey/LeviathanSpawnMutalisk_USD=U  Button/Hotkey/Levia
campaigns\liberty.sc2campaign\plpl.sc2data\localizeddata\gamehotkeys.txt	31101	Leviathan	r_USD=None /// None  Button/Hotkey/LeadFarmer_USDL=None /// None  Button/Hotkey/LeviathanSpawnMutalisk=U /// U  Button/Hotkey/LeviathanSpawnMutalisk_USD=U /// U  Button/
campaigns\liberty.sc2campaign\zhcn.sc2data\localizeddata\gamehotkeys.txt	31101	Leviathan	r_USD=None /// None  Button/Hotkey/LeadFarmer_USDL=None /// None  Button/Hotkey/LeviathanSpawnMutalisk=U /// U  Button/Hotkey/LeviathanSpawnMutalisk_USD=U /// U  Button/
campaigns\swarm.sc2campaign\enus.sc2data\localizeddata\gamehotkeys.txt	29224	Leviathan	tkey/HotSBioStasis_USD=W  Button/Hotkey/HotSBioStasis_USDL=I  Button/Hotkey/HotSLeviathan=L  Button/Hotkey/HotSLeviathan_NRS=L  Button/Hotkey/HotSLeviathan_USD=L  Button
campaigns\swarm.sc2campaign\frfr.sc2data\localizeddata\gamehotkeys.txt	34218	Leviathan	Stasis_USD=W /// W  Button/Hotkey/HotSBioStasis_USDL=I /// I  Button/Hotkey/HotSLeviathan=L /// L  Button/Hotkey/HotSLeviathan_NRS=L /// L  Button/Hotkey/HotSLeviathan_U
campaigns\swarm.sc2campaign\zhcn.sc2data\localizeddata\gamehotkeys.txt	34218	Leviathan	Stasis_USD=W /// W  Button/Hotkey/HotSBioStasis_USDL=I /// I  Button/Hotkey/HotSLeviathan=L /// L  Button/Hotkey/HotSLeviathan_NRS=L /// L  Button/Hotkey/HotSLeviathan_U
campaigns\swarm.sc2campaign\zhtw.sc2data\localizeddata\gamehotkeys.txt	34218	Leviathan	Stasis_USD=W /// W  Button/Hotkey/HotSBioStasis_USDL=I /// I  Button/Hotkey/HotSLeviathan=L /// L  Button/Hotkey/HotSLeviathan_NRS=L /// L  Button/Hotkey/HotSLeviathan_U
mods\starcoop\starcoop.sc2mod\enus.sc2data\localizeddata\gamehotkeys.txt	185447	Abathur	ton/Hotkey/AStrongHeart_USD=B  Button/Hotkey/AStrongHeart_USDL=B  Button/Hotkey/AbathurDeepTunnel=D  Button/Hotkey/AbathurDeepTunnel_NRS=D  Button/Hotkey/AbathurDeepTu
mods\starcoop\starcoop.sc2mod\zhcn.sc2data\localizeddata\gamehotkeys.txt	210335	Abathur	StrongHeart_USD=B /// B  Button/Hotkey/AStrongHeart_USDL=B /// B  Button/Hotkey/AbathurDeepTunnel=D /// D  Button/Hotkey/AbathurDeepTunnel_NRS=D /// D  Button/Hotkey/A
campaigns\swarmstoryutil.sc2mod\enus.sc2data\localizeddata\gamestrings.txt	3930	Leviathan	/Value/lib_281DEC45_05ECE39E=Loading data...  Param/Value/lib_281DEC45_0861B6F7=Leviathan resource dump saved to gamelogs.  Param/Value/lib_281DEC45_0D768197=Unknown  Pa
