UnitId	NameZh	Subtitle
InfestedCivilian	被感染的平民	
InfestedExploder		
InfestedGoliathRocket	被感染的歌利亚火箭	
InfestedMedic		
InfestedRocket	被感染的火箭	
InfestedSiegeTankMissile	被感染的攻城坦克导弹	
InfestedStukov		
InfestedTerranCampaign		
InfestedThorAA	被感染的雷神	
InfestedWarhound2	被感染的战狼变种	
Infestor		
InfestorBurrowed		
K5Kerrigan		
Kraith		
KrystianWeapon	克利斯提安武器	
Lair		
Larva		
LeapingCritter		
Leviathan		
Locust		
LocustFlying		
LocustMP		
Lurker		
LurkerBurrowed		
Maar	玛尔	
Marauder		
Marine		
MarzaLeftWeapon	玛萨左舷武器	
MarzaRightWeapon	玛萨右舷武器	
Medic		
Medivac		
MengskBanshee		
MengskDiamondback		
MengskFirebat		
MengskGoliath		
MengskMarauder		
MengskMedic		
MengskReaper	巴扎德	
MengskSiegeTank		
MengskSiegeTankSieged		
MengskThor		
MengskVikingAssault		
MengskVikingFighter		
MercCompound		
MercHellion		
MercMedic		
MercReaper		
Moopy		
MothershipCore		
Mutalisk		
MutaliskChar	飞龙（查尔变种）	
Nexus		
NovaInfestedBansheeBurrowed		
NovaInfestedSiegeTank		
NovaInfestedSiegeTankUprooted		
NydusCanalAttacker		
NydusCanalCreeper		
NydusNetwork		
Observer		
Odin		
Oracle		
OrbitalCommand		
Overlord		
OverlordWeapon	王虫武器	
Overseer		
PestigorWeapon	培斯提戈武器	
PhoenixAiur		
PlaceWormholeUnit	虫洞	
PrecursorLeft	先驱左	
PrecursorRight	先驱右	
Predator		
PrideofAugustgradPlasma	奥古斯特格勒的骄傲等离子体	
PrimalFlyer		
PrimalHydralisk		
PrimalRoach		
PrimalRoachBurrowed		
PrimalRoachWeapon2	原始蟑螂	
PrimalSunkenColony		
PrimalTownHall		
PrimalTownHallUprooted		
PrimalUltralisk		
PrimalZergling	原始跳虫	
Probe		
ProtossFrigate		
PsiDecimator		
Pylon		
Queen		
QueenClassicParasiteMissile	经典女王寄生导弹	
QueenMPEnsnareMissile	女王诱捕导弹(多人模式)	
QueenMPSpawnBroodlingsMissile	女王孵化虫群导弹(多人模式)	
Ravager		
RavagerBurrowed		
Ravasaur		
Raven		
RavenSeekerMissile	渡鸦追踪导弹	
Reaper		
Reaver		
Roach		
RoachBurrowed		
RoachCorpser		掘地变种
RoachCorpserBurrowed		
RoachVile		
RoachVileBurrowed		
RoboticsFacility		
SavageBurrowed	雷兽(潜地)	
ScienceVessel		
Scourge		
Scout		
SCV		
SentryAiur		
ShieldBattery		
SiegeBreaker		
SiegeBreakerSieged		
SJHyperion		
SkylordLeftWeapon	天空领主左翼武器	
SkylordRightWeapon	天空领主右翼武器	
Slivan		
SlivanCreep		
SparrowMissile	飞鹰导弹	
SpartanCompany		
SpawningPool		
Spectre		
SpewMissile	喷射导弹	
SpineCrawler		
SpineCrawlerUprooted		
SpineCrawlerWeapon2	脊针爬虫2型	
Spire		
SporeCrawler		
SporeCrawlerUprooted		
StalkerPurifier		
StalkerShakuras		
Stargate		
Starport		
StarportTechLab		
SuperWarpGate		
SupplicantWeapon	信徒武器	
SupplyDepot		
SupplyDepotLowered		
SwarmHost		
SwarmHostBurrowed		
SwarmHostSplitA		
SwarmHostSplitABurrowed		
SwarmHostSplitB		
SwarmHostSplitBBurrowed		
Tempest		
TempestPurifier		
TempleGuard	圣堂守卫	
Terrorzor		
Thor	雷神	
ThorAP		
Ultralisk		
UmojanLabMicrobot		
UmojanLabWarbot		
VespidWeapon	黄蜂武器	
Viper		
VoidPylon		
Vulture		
Warbot		
WarpGate		
WarPig	战地豪猪	
WarpPrism		
WarpPrismPhasing		
WaspMissile	黄蜂导弹	
WeaponDireWolf	武器-天狼星	
Wraith		
XelNagaChargedCrystal		
Yeti		
YetiMomma		
Zealot		
ZealotAiur		
ZealotPurifier		
ZealotShakuras		
ZeratulEntropicBlastCyanWeapon		
ZeratulEntropicBlastCyanWeaponSpawner	泽拉图熵能冲击(青色武器生成器)	
ZeratulEntropicBlastWeapon		
ZeratulVoidAiur01		
ZeratulXelNagaConstructPsiBlastWeapon		
Zergling		
Zerus02Chrysalis		
ZerusAlienTreeViper		
